"","YEAR","STATE","TYPE","TOTAL","NATIVE_AMER","BLACK","MULTI","WHITE","HISPANIC","ASIAN","PACIFIC_ISL","POC"
"52",2017,"MD","AREA OPERATED",3628309,0.061,0.416,0.104,98.378,0.688,0.35,0.003,1.622
"53",2017,"MD","OPERATIONS",25560,0.36,1.455,0.724,94.268,1.749,1.311,0.133,5.732
"54",2017,"MD","OPERATORS",38625,0.306,1.23,0.544,95.322,1.209,1.292,0.098,4.678
"55",2017,"ME","AREA OPERATED",2636685,0.22,0.026,0.392,98.77,0.541,0.037,0.013,1.23
"56",2017,"ME","OPERATIONS",15660,0.39,1.673,1.137,94.962,1.347,0.39,0.102,5.038
"57",2017,"ME","OPERATORS",24346,0.271,1.125,0.813,96.542,0.932,0.251,0.066,3.458
"58",2017,"MI","AREA OPERATED",18167386,0.206,0.125,0.528,98.3,0.792,0.046,0.003,1.7
"59",2017,"MI","OPERATIONS",97818,0.548,0.469,0.826,96.29,1.604,0.246,0.016,3.71
"60",2017,"MI","OPERATORS",144837,0.439,0.44,0.659,97.015,1.247,0.189,0.011,2.985
"61",2017,"MN","AREA OPERATED",42679041,0.131,0.005,0.24,98.604,0.957,0.063,0,1.396
"62",2017,"MN","OPERATIONS",139324,0.195,0.046,0.359,98.199,0.765,0.408,0.028,1.801
"63",2017,"MN","OPERATORS",202321,0.151,0.034,0.268,98.607,0.582,0.339,0.019,1.393
"64",2017,"MO","AREA OPERATED",54281857,0.27,0.054,0.659,98.122,0.793,0.096,0.005,1.878
"65",2017,"MO","OPERATIONS",194777,0.584,0.173,0.879,96.859,1.152,0.317,0.036,3.141
"66",2017,"MO","OPERATORS",292258,0.434,0.13,0.681,97.587,0.857,0.285,0.026,2.413
"67",2017,"MS","AREA OPERATED",20705879,0.076,5.327,0.362,93.27,0.846,0.067,0.052,6.73
"68",2017,"MS","OPERATIONS",71419,0.314,13.713,0.594,83.804,1.263,0.245,0.067,16.196
"69",2017,"MS","OPERATORS",101485,0.263,12.686,0.483,85.268,1.008,0.245,0.047,14.732
"70",2017,"MT","AREA OPERATED",114016837,6.857,0.034,0.632,91.188,1.254,0.019,0.017,8.812
"71",2017,"MT","OPERATIONS",56009,4.812,0.08,1.244,92.187,1.368,0.212,0.096,7.813
"72",2017,"MT","OPERATORS",85733,3.822,0.052,0.893,94.061,0.951,0.15,0.07,5.939
"73",2017,"NC","AREA OPERATED",16797195,1.029,2.012,0.142,95.723,0.892,0.2,0.002,4.277
"74",2017,"NC","OPERATIONS",94910,1.172,3.073,0.579,93.275,1.275,0.591,0.035,6.725
"75",2017,"NC","OPERATORS",135693,1.012,2.756,0.447,94.23,0.99,0.54,0.024,5.77
"76",2017,"ND","AREA OPERATED",69876722,0.899,0,0.204,98.402,0.494,0.001,0,1.598
"77",2017,"ND","OPERATIONS",53386,0.91,0.022,0.423,97.865,0.706,0.058,0.015,2.135
"78",2017,"ND","OPERATORS",76730,0.749,0.016,0.37,98.269,0.541,0.043,0.012,1.731
"79",2017,"NE","AREA OPERATED",80389753,0.122,0.004,0.101,98.778,0.991,0.005,0,1.222
"80",2017,"NE","OPERATIONS",93755,0.16,0.042,0.237,98.549,0.923,0.069,0.02,1.451
"81",2017,"NE","OPERATORS",138896,0.116,0.028,0.171,98.94,0.684,0.047,0.014,1.06
"82",2017,"NH","AREA OPERATED",509568,0,0.039,0.656,98.187,1.096,0.022,0,1.813
"83",2017,"NH","OPERATIONS",8441,0.284,0.9,1.031,96.233,1.256,0.296,0,3.767
"84",2017,"NH","OPERATORS",13162,0.182,0.577,0.767,97.394,0.889,0.19,0,2.606
"85",2017,"NJ","AREA OPERATED",1505083,0.204,0.075,0.638,95.784,2.216,1.083,0,4.216
"86",2017,"NJ","OPERATIONS",20712,0.164,0.555,0.777,93.448,3.481,1.535,0.039,6.552
"87",2017,"NJ","OPERATORS",30906,0.126,0.45,0.56,94.681,2.705,1.453,0.026,5.319
"88",2017,"NM","AREA OPERATED",90244795,15.126,0.003,0.204,71.867,12.748,0.042,0.01,28.133
