"","GEOID","year","FRR_NAME","county","percf_acr","percf_op","diff"
"2822","51065",2017,"Southern Seaboard","Fluvanna",38.75,36.31,2.44
"2823","51067",2017,"Southern Seaboard","Franklin",26.47,30.02,-3.55
"2824","51069",2017,"Southern Seaboard","Frederick",24.15,33.92,-9.77
"2825","51071",2017,"Eastern Uplands","Giles",24.13,33.27,-9.14
"2826","51073",2017,"Southern Seaboard","Gloucester",10.72,36.87,-26.15
"2827","51075",2017,"Southern Seaboard","Goochland",26.06,40.73,-14.67
"2828","51077",2017,"Eastern Uplands","Grayson",21.74,24.97,-3.23
"2829","51079",2017,"Southern Seaboard","Greene",28.4,39.7,-11.3
"2830","51081",2017,"Southern Seaboard","Greensville",13.01,22.73,-9.72
"2831","51083",2017,"Southern Seaboard","Halifax",22.63,28.95,-6.32
"2832","51085",2017,"Southern Seaboard","Hanover",20.2,35.53,-15.33
"2833","51087",2017,"Southern Seaboard","Henrico",9.37,31.9,-22.53
"2834","51089",2017,"Southern Seaboard","Henry",13.28,26.39,-13.11
"2835","51091",2017,"Eastern Uplands","Highland",24.56,23.87,0.689999999999998
"2836","51093",2017,"Southern Seaboard","Isle of Wight",15.87,39.18,-23.31
"2837","51095",2017,"Southern Seaboard","James City",26.89,35.79,-8.9
"2838","51097",2017,"Southern Seaboard","King and Queen",16.74,33.68,-16.94
"2839","51099",2017,"Southern Seaboard","King George",25.77,34.92,-9.15
"2840","51101",2017,"Southern Seaboard","King William",12.93,25.24,-12.31
"2841","51103",2017,"Southern Seaboard","Lancaster",10.84,30,-19.16
"2842","51105",2017,"Eastern Uplands","Lee",24.63,27.47,-2.84
"2843","51107",2017,"Southern Seaboard","Loudoun",26.68,42.8,-16.12
"2844","51109",2017,"Southern Seaboard","Louisa",24.26,34.69,-10.43
"2845","51111",2017,"Southern Seaboard","Lunenburg",22.93,26.12,-3.19
"2846","51113",2017,"Southern Seaboard","Madison",18.65,29.97,-11.32
"2847","51115",2017,"Southern Seaboard","Mathews",NA,26.92,NA
"2848","51117",2017,"Southern Seaboard","Mecklenburg",17.22,29.47,-12.25
"2849","51119",2017,"Southern Seaboard","Middlesex",14.1,31.52,-17.42
"2850","51121",2017,"Eastern Uplands","Montgomery",21.56,30.84,-9.28
"2851","51125",2017,"Southern Seaboard","Nelson",32.97,34.67,-1.7
"2852","51127",2017,"Southern Seaboard","New Kent",17.14,29.07,-11.93
"2853","51131",2017,"Southern Seaboard","Northampton",13.19,25.83,-12.64
"2854","51133",2017,"Southern Seaboard","Northumberland",19.17,44.14,-24.97
"2855","51135",2017,"Southern Seaboard","Nottoway",21.6,25.95,-4.35
"2856","51137",2017,"Southern Seaboard","Orange",28.48,35.75,-7.27
"2857","51139",2017,"Southern Seaboard","Page",29.36,34.67,-5.31
"2858","51141",2017,"Southern Seaboard","Patrick",20.41,26.66,-6.25
"2859","51143",2017,"Southern Seaboard","Pittsylvania",17.03,25.41,-8.38
"2860","51145",2017,"Southern Seaboard","Powhatan",19.26,38.72,-19.46
"2861","51147",2017,"Southern Seaboard","Prince Edward",17.69,24.43,-6.74
"2862","51149",2017,"Southern Seaboard","Prince George",16.07,26.88,-10.81
"2863","51153",2017,"Southern Seaboard","Prince William",31.07,44.02,-12.95
"2864","51155",2017,"Eastern Uplands","Pulaski",16.54,24.28,-7.74
"2865","51157",2017,"Southern Seaboard","Rappahannock",22.33,39.96,-17.63
"2866","51159",2017,"Southern Seaboard","Richmond",9.3,31.58,-22.28
"2867","51161",2017,"Eastern Uplands","Roanoke",34.62,34.08,0.539999999999999
"2868","51163",2017,"Eastern Uplands","Rockbridge",23.59,31.82,-8.23
"2869","51165",2017,"Southern Seaboard","Rockingham",22.81,26.54,-3.73
"2870","51167",2017,"Eastern Uplands","Russell",30.17,28.75,1.42
"2871","51169",2017,"Eastern Uplands","Scott",21.63,26.34,-4.71
"2872","51171",2017,"Southern Seaboard","Shenandoah",20.05,30.72,-10.67
"2873","51173",2017,"Eastern Uplands","Smyth",22.46,25.27,-2.81
"2874","51175",2017,"Southern Seaboard","Southampton",12.75,25,-12.25
"2875","51177",2017,"Southern Seaboard","Spotsylvania",23.73,36.97,-13.24
"2876","51179",2017,"Southern Seaboard","Stafford",19.71,37.54,-17.83
"2877","51181",2017,"Southern Seaboard","Surry",8.09,21.58,-13.49
"2878","51183",2017,"Southern Seaboard","Sussex",11.26,29.17,-17.91
"2879","51185",2017,"Eastern Uplands","Tazewell",19.53,27.97,-8.44
"2880","51187",2017,"Southern Seaboard","Warren",15.91,29.47,-13.56
"2881","51191",2017,"Eastern Uplands","Washington",20.39,24.92,-4.53
"2882","51193",2017,"Southern Seaboard","Westmoreland",21.19,26.94,-5.75
"2883","51195",2017,"Eastern Uplands","Wise",10.65,19.88,-9.23
"2884","51197",2017,"Eastern Uplands","Wythe",18.92,25.21,-6.29
"2885","51199",2017,"Southern Seaboard","York",36.93,23.53,13.4
"2886","51550",2017,"Southern Seaboard","Chesapeake",17.2,35.42,-18.22
"2887","51800",2017,"Southern Seaboard","Suffolk",28.72,38.72,-10
"2888","51810",2017,"Southern Seaboard","Virginia Beach",29.6,28.7,0.900000000000002
"2889","53001",2017,"Fruitful Rim","Adams",22.01,28.43,-6.42
"2890","53003",2017,"Basin and Range","Asotin",26.51,33.58,-7.07
"2891","53005",2017,"Fruitful Rim","Benton",14.71,34.61,-19.9
"2892","53007",2017,"Fruitful Rim","Chelan",34.45,32.75,1.7
"2893","53009",2017,"Fruitful Rim","Clallam",34.84,47.12,-12.28
"2894","53011",2017,"Fruitful Rim","Clark",21.12,42.57,-21.45
"2895","53013",2017,"Basin and Range","Columbia",14.59,28.35,-13.76
"2896","53015",2017,"Fruitful Rim","Cowlitz",30.21,34.51,-4.3
"2897","53017",2017,"Fruitful Rim","Douglas",26.24,31.37,-5.13
"2898","53019",2017,"Basin and Range","Ferry",6.17,40.4,-34.23
"2899","53021",2017,"Fruitful Rim","Franklin",20.9,30.06,-9.16
"2900","53023",2017,"Basin and Range","Garfield",22.36,28.12,-5.76
"2901","53025",2017,"Fruitful Rim","Grant",19.76,26.18,-6.42
"2902","53027",2017,"Fruitful Rim","Grays Harbor",20.27,39.97,-19.7
"2903","53029",2017,"Fruitful Rim","Island",34.01,47.35,-13.34
"2904","53031",2017,"Fruitful Rim","Jefferson",36.59,41.86,-5.27
"2905","53033",2017,"Fruitful Rim","King",38.57,47.82,-9.25
"2906","53035",2017,"Fruitful Rim","Kitsap",41.67,48.16,-6.48999999999999
"2907","53037",2017,"Fruitful Rim","Kittitas",29.11,39.26,-10.15
"2908","53039",2017,"Fruitful Rim","Klickitat",18.33,36.53,-18.2
"2909","53041",2017,"Fruitful Rim","Lewis",35.01,39.31,-4.3
"2910","53043",2017,"Fruitful Rim","Lincoln",28.89,34.4,-5.51
"2911","53045",2017,"Fruitful Rim","Mason",32.98,36.45,-3.47000000000001
"2912","53047",2017,"Fruitful Rim","Okanogan",9.76,36.59,-26.83
"2913","53049",2017,"Fruitful Rim","Pacific",20.88,32.19,-11.31
"2914","53051",2017,"Basin and Range","Pend Oreille",18.39,39.2,-20.81
"2915","53053",2017,"Fruitful Rim","Pierce",42.5,44.18,-1.68
"2916","53055",2017,"Fruitful Rim","San Juan",44.59,50.92,-6.33
"2917","53057",2017,"Fruitful Rim","Skagit",27.57,41.45,-13.88
