GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "01013","Butler, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",440468,458465,474518,494734,483002,495683,524646,506747,473405,550313,574846,559656,568627,566965,587186,571598,583715,603080,601174
 "01013","Butler, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",78.703,81.919,84.788,88.400,86.303,88.569,93.744,90.546,84.589,98.331,102.714,100.000,101.603,101.306,104.919,102.134,104.299,107.759,107.419
 "01013","Butler, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",365403,383051,405904,440445,432981,451960,491080,478870,449369,530579,559415,559656,582905,593153,615852,601096,627398,660163,664893
 "01015","Calhoun, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",3453799,3564012,3672508,3957154,4135123,4244878,4395303,4454594,4239166,4383624,4225872,4185918,4030503,3897498,3832845,3861691,3882048,3955983,4050073
 "01015","Calhoun, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",82.510,85.143,87.735,94.535,98.787,101.409,105.002,106.419,101.272,104.723,100.954,100.000,96.287,93.110,91.565,92.254,92.741,94.507,96.755
 "01015","Calhoun, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",2719537,2859680,2997971,3324586,3568305,3777282,4024250,4156337,4049773,4238183,4153945,4185918,4091975,4047759,4041585,4117248,4218400,4402334,4590003
 "01017","Chambers, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",846855,872690,797631,875883,822221,795742,771611,690304,655869,672565,690001,750106,972877,930607,895979,822829,771863,789175,819345
 "01017","Chambers, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",112.898,116.342,106.336,116.768,109.614,106.084,102.867,92.028,87.437,89.663,91.987,100.000,129.699,124.063,119.447,109.695,102.901,105.209,109.231
 "01017","Chambers, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",702379,732433,669342,744603,709929,707470,701681,636745,623913,646638,672987,750106,996526,977011,987823,921607,876383,906708,953730
 "01019","Cherokee, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",392035,393360,409078,442046,426953,461389,482430,495514,458053,477980,487600,472852,513062,490545,498945,489001,501472,534858,531160
 "01019","Cherokee, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",82.909,83.189,86.513,93.485,90.293,97.576,102.026,104.793,96.870,101.085,103.119,100.000,108.504,103.742,105.518,103.415,106.053,113.113,112.331
 "01019","Cherokee, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",312699,318075,336326,372840,365661,403636,434303,452363,428216,452084,475347,472852,525307,511811,529936,521848,546458,591293,598746
 "01021","Chilton, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",631670,662700,686575,729616,741323,781024,776534,750418,737356,751131,802447,826937,858748,816551,823475,831313,866476,898205,929435
 "01021","Chilton, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",76.387,80.139,83.026,88.231,89.647,94.448,93.905,90.747,89.167,90.833,97.038,100.000,103.847,98.744,99.581,100.529,104.781,108.618,112.395
 "01021","Chilton, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",498268,532113,563391,619985,646491,699949,715802,701312,708357,726726,781607,826937,881871,863768,899018,923432,976236,1032642,1088804
 "01023","Choctaw, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",643094,565802,527216,605108,668174,729773,622717,598268,405089,418815,468866,564511,554777,548603,518824,507360,490802,536654,540271
 "01023","Choctaw, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",113.920,100.229,93.393,107.191,118.363,129.275,110.311,105.980,71.759,74.191,83.057,100.000,98.276,97.182,91.907,89.876,86.943,95.065,95.706
 "01023","Choctaw, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",514737,448651,418649,483146,549337,628000,551609,555611,373475,401820,464666,564511,575598,574949,548765,536643,538181,603115,610383
 "01025","Clarke, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",672012,681568,677810,735715,766806,832353,832742,790660,776717,746205,774107,794173,803691,783430,782329,767215,736943,758828,770838
