                   Item,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,,,,
"    Total, gross value of production",217.68 ,187.27 ,180.26 ,226.13 ,276.19 ,279.47 ,260.09 ,243.45 ,252.82 ,272.94 ,252.17 ,167.03 ,186.56 ,217.20 ,255.37 ,257.33 ,254.98 ,274.33 ,227.05 ,296.32 ,321.98 ,,,,
  Variable cash expenses,81.33 ,77.68 ,80.09 ,87.44 ,99.94 ,119.38 ,135.09 ,133.53 ,128.30 ,132.79 ,136.80 ,120.41 ,117.39 ,122.60 ,133.42 ,134.21 ,137.88 ,139.52 ,138.94 ,147.08 ,158.13 ,,,,
  General farm overhead,14.44 ,15.55 ,16.59 ,12.35 ,14.83 ,16.60 ,15.43 ,16.20 ,15.22 ,15.37 ,10.93 ,10.42 ,10.15 ,10.81 ,10.42 ,12.06 ,10.39 ,10.58 ,8.98 ,13.49 ,12.46 ,,,,
  Taxes and insurance,4.74 ,4.96 ,5.64 ,6.12 ,6.94 ,14.55 ,14.92 ,13.93 ,13.45 ,17.00 ,17.47 ,13.81 ,14.65 ,14.59 ,14.87 ,14.85 ,17.98 ,18.41 ,18.11 ,20.68 ,20.01 ,,,,
  Capital replacement,14.28 ,17.63 ,18.56 ,19.17 ,23.00 ,25.29 ,28.01 ,33.25 ,33.56 ,33.73 ,34.62 ,29.77 ,30.08 ,30.95 ,34.01,35.61 ,27.23 ,30.19,28.70 ,32.96,32.71,,,,
  Operating capital,2.30 ,1.94 ,1.97 ,2.77 ,3.99 ,5.57 ,7.42 ,6.03 ,4.75 ,5.42 ,4.36 ,2.53 ,2.75 ,3.41 ,4.19,3.82 ,3.75 ,2.49,2.17 ,3.43,4.42,,,,
  Other nonland capital,4.33 ,5.01 ,4.70 ,4.54 ,5.35 ,5.31 ,5.41 ,5.89 ,5.19 ,6.78 ,6.56 ,5.29 ,5.25 ,6.12 ,8.14,9.28 ,10.17 ,11.86,11.20 ,13.32,13.18,,,,
  Land,54.80 ,47.96 ,47.18 ,60.17 ,75.11 ,66.27 ,61.32 ,51.29 ,47.95 ,67.63 ,54.82 ,41.19 ,44.26 ,52.83 ,57.80 ,59.63 ,61.61 ,64.29,54.89 ,66.48,67.28,,,,
  Unpaid labor,6.34 ,7.50 ,8.56 ,7.80 ,8.90 ,9.63 ,11.00 ,10.74 ,10.03 ,10.30 ,11.45 ,19.70 ,20.04 ,21.26 ,22.04,23.06 ,23.54 ,24.99,24.11 ,24.03,25.23,,,,
"    Total, economic costs",182.56 ,178.23 ,183.29 ,200.36 ,238.06 ,262.60 ,278.60 ,270.86 ,258.45 ,289.02 ,277.01 ,243.12 ,244.57 ,262.57 ,284.89 ,292.52 ,292.55 ,302.33 ,287.10 ,321.47 ,333.42 ,,,,
  Residual returns to risk and management  ,35.12 ,9.04 ,-3.03 ,25.77 ,38.13 ,16.87 ,-18.51 ,-27.41 ,-5.63 ,-16.08 ,-24.84 ,-76.09 ,-58.01 ,-45.37 ,-29.52 ,-35.20 ,-37.57 ,-28.00 ,-60.05 ,-25.15 ,-11.44 ,,,,
Harvest-period price (dollars/bu.),2.54 ,2.15 ,2.03 ,2.25 ,2.52 ,3.10 ,2.38 ,2.14 ,3.21 ,2.58 ,2.15 ,1.41 ,1.57 ,2.61 ,2.22 ,2.19 ,2.31 ,2.05 ,2.29 ,2.07 ,2.78 ,,,,
Yield (bu./planted acre),85.70 ,87.10 ,88.80 ,100.50 ,109.60 ,90.15 ,109.28 ,113.76 ,78.76 ,105.79 ,117.29 ,118.46 ,118.83 ,83.22 ,115.03 ,117.50 ,110.38 ,133.82 ,99.15 ,143.15 ,115.82 ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
